SCHOOLJAAR;BRIN NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM VESTIGING;GEMEENTENUMMER;GEMEENTENAAM;PLAATSNAAM;PROVINCIE;ONDERWIJSTYPE VO;VAKCODE;AFKORTING VAKNAAM;VAKNAAM;SCHOOLEXAMEN BEOORDELING;TOTAAL AANTAL SCHOOLEXAMENS MET BEOORDELING;AANTAL SCHOOLEXAMENS MET BEOORDELING MEETELLEND VOOR DIPLOMA;TOTAAL AANTAL SCHOOLEXAMENS MET CIJFER;GEM. CIJFER TOTAAL AANTAL SCHOOLEXAMENS;AANTAL SCHOOLEXAMENS MET CIJFER MEETELLEND VOOR DIPLOMA;GEM. CIJFER SCHOOLEXAMENS MET CIJFER MEETELLEND VOOR DIPLOMA;TOTAAL AANTAL CENTRALE EXAMENS;GEM. CIJFER TOTAAL AANTAL CENTRALE EXAMENS;AANTAL CENTRALE EXAMENS MEETELLEND VOOR DIPLOMA;GEM. CIJFER CENTRALE EXAMENS MET CIJFER MEETELLEND VOOR DIPLOMA;GEM. CIJFER CIJFERLIJST;GEM. CIJFER REKENTOETS
2014;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;1025;wisB;wiskunde B;;0;0;20;5,7;20;5,7;20;6,1;20;6,1;6,0;,0
2014;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;1028;schk;scheikunde;;0;0;43;6,0;43;6,0;43;5,9;43;5,9;6,0;,0
2014;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;1032;kudr;kunst (drama);;0;0;8;7,3;8;7,3;8;6,9;8;6,9;7,1;,0
2014;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;1036;hndv;handvaardigheid;;0;0;3;6,4;3;6,4;3;5,9;3;5,9;6,3;,0
2014;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;1038;bsm;bewegen, sport en maatschappij;;0;0;17;6,4;0;,0;0;,0;0;,0;6,4;,0
2014;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;1107;rkt;Rekentoets;;0;0;0;,0;0;,0;0;,0;0;,0;,0;5,9
2014;00AH;07;locatie, Zuid;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;0131;ak;aardrijkskunde;;0;0;23;5,8;23;5,8;23;5,8;23;5,8;5,8;,0
2014;00AH;07;locatie, Zuid;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;0251;m&o;management en organisatie;;0;0;24;6,2;24;6,2;24;5,1;24;5,1;5,6;,0
2014;00AH;07;locatie, Zuid;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;0270;te;tekenen;;0;0;14;6,9;14;6,9;14;5,8;14;5,8;6,4;,0
2014;00AH;07;locatie, Zuid;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;0353;lo;lichamelijke opvoeding (gemeenschappelijk deel);G;68;68;0;,0;0;,0;0;,0;0;,0;,0;,0
2014;00AH;07;locatie, Zuid;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;0353;lo;lichamelijke opvoeding (gemeenschappelijk deel);V;18;18;0;,0;0;,0;0;,0;0;,0;,0;,0
2014;00AH;07;locatie, Zuid;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;1001;netl;Nederlandse taal en literatuur;;0;0;99;5,7;99;5,7;99;5,6;99;5,6;5,7;,0
2014;00AH;07;locatie, Zuid;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;1002;entl;Engelse taal en literatuur;;0;0;99;6,6;99;6,6;99;7,2;99;7,2;6,9;,0
2014;00AH;07;locatie, Zuid;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;1003;fatl;Franse taal en literatuur;;0;0;9;6,7;9;6,7;9;6,0;9;6,0;6,3;,0
2014;00AH;07;locatie, Zuid;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;1004;dutl;Duitse taal en literatuur;;0;0;30;6,1;30;6,1;30;6,1;30;6,1;6,0;,0
2014;00AH;07;locatie, Zuid;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;1018;biol;biologie;;0;0;46;5,9;46;5,9;46;6,0;46;6,0;6,0;,0
2014;00AH;07;locatie, Zuid;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;1019;maat;maatschappijleer;;0;0;88;7,1;0;,0;0;,0;0;,0;7,2;,0
2014;00AH;07;locatie, Zuid;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;1020;ckv;culturele en kunstzinnige vorming;G;29;29;0;,0;0;,0;0;,0;0;,0;,0;,0
2014;00AH;07;locatie, Zuid;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;1020;ckv;culturele en kunstzinnige vorming;V;59;59;0;,0;0;,0;0;,0;0;,0;,0;,0
2014;00AH;07;locatie, Zuid;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;1021;ges;geschiedenis;;0;0;58;6,4;58;6,4;58;6,0;58;6,0;6,2;,0
2014;00AH;07;locatie, Zuid;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;1022;econ;economie;;0;0;61;6,1;61;6,1;61;5,7;61;5,7;5,9;,0
2014;00AH;07;locatie, Zuid;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;1023;nat;natuurkunde;;0;0;32;6,1;32;6,1;32;5,8;32;5,8;6,1;,0
2014;00AH;07;locatie, Zuid;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;1024;wisA;wiskunde A;;0;0;82;6,5;82;6,5;82;6,5;82;6,5;6,5;,0
2014;00AH;07;locatie, Zuid;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;1025;wisB;wiskunde B;;0;0;15;6,4;15;6,4;15;7,2;15;7,2;6,9;,0
2014;00AH;07;locatie, Zuid;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;1028;schk;scheikunde;;0;0;41;5,9;41;5,9;41;6,5;41;6,5;6,1;,0
2014;00AH;07;locatie, Zuid;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;1034;maw;maatschappijwetenschappen;;0;0;24;5,9;24;5,9;24;5,7;24;5,7;5,8;,0
2014;00AH;07;locatie, Zuid;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;1036;hndv;handvaardigheid;;0;0;7;6,6;7;6,6;7;5,3;7;5,3;6,1;,0
2014;00AH;07;locatie, Zuid;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;1038;bsm;bewegen, sport en maatschappij;;0;0;28;7,0;0;,0;0;,0;0;,0;7,1;,0
2014;00AH;07;locatie, Zuid;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;1107;rkt;Rekentoets;;0;0;0;,0;0;,0;0;,0;0;,0;,0;5,7
